StateAB,State,CityID,City,Last_name,First_name,Full_name,MayorID,Twitter_handle,Twitter_website,Race_White,Race_Black,Race_Hispanic,Race_Other,Gender_Male,Gender_Female,Gender_CM,,
CA,California,81,Fontana,Warren,Acquanetta,Acquanetta Warren,81,AcqieWarren,twitter.com/AcqieWarren,0,1,0,0,0,1,F,,
CA,California,82,Moreno Valley,Gutierrez,Yxstian,Yxstian Gutierrez,82,movalmayor,twitter.com/movalmayor,0,0,1,0,1,0,M,,
CA,California,83,Glendale,Gharpetian,Vartan,Vartan Gharpetian,83,VGharpetian,https://twitter.com/VGharpetian,1,0,0,0,1,0,M,,
CA,California,84,Huntington Beach,Posey,Mike,Mike Posey,84,N/A,N/A,1,0,0,0,1,0,M,,
CA,California,85,Santa Clarita,McLean,Marsha,Marsha McLean,85,electmclean2014,https://twitter.com/electmclean2014,1,0,0,0,0,1,F,,
CA,California,86,Garden Grove,Jones,Steven R.,Steven R. Jones,86,N/A,N/A,1,0,0,0,1,0,M,,
CA,California,87,Santa Rosa,Coursey,Chris,Chris Coursey,87,chris4santarosa,twitter.com/chris4santarosa,1,0,0,0,1,0,M,,
CA,California,88,Oceanside,Weiss,Peter,Peter Weiss,88,N/A,N/A,1,0,0,0,1,0,M,,
CA,California,89,Rancho Cucamonga,Michael,L Dennis,L Dennis Michael,89,N/A,N/A,1,0,0,0,1,0,M,,
CA,California,90,Ontario,Leon,Paul S.,Paul S. Leon,90,mayorpaulleon,twitter.com/mayorpaulleon,1,0,0,0,1,0,M,,
CA,California,91,Lancaster,Parris,R. Rex,R Rex Parris,91,rrexparris,https://twitter.com/rrexparris,1,0,0,0,1,0,M,,
CA,California,92,Elk Grove,Ly,Steve,Steve Ly,92,steve4elkgrove,twitter.com/steve4elkgrove,0,0,0,1,1,0,M,,
CA,California,93,Palmdale,Ledford Jr.,James C.,James C. Ledford Jr.,93,N/A,N/A,1,0,0,0,1,0,M,,
CA,California,94,Corona,Spiegel,Karen,Karen Spiegel,94,spiegelforbos18,https://twitter.com/spiegelforbos18,1,0,0,0,0,1,F,,
CA,California,95,Salinas,Gunter,Joe,Joe Gunter,95,N/A,N/A,1,0,0,0,1,0,M,,
CA,California,96,Pomona,Sandoval,Tim,Tim Sandoval,96,onepomona,twitter.com/onepomona,0,0,0,1,1,0,M,,
CA,California,97,Torrance,Furey,Patrick J.,Patrick J. Furey,97,mayorpatfurey,twitter.com/mayorpatfurey,1,0,0,0,1,0,M,,
CA,California,98,Hayward,Halliday,Barbara,Barbara Halliday,98,hallidayforhwd,twitter.com/hallidayforhwd,1,0,0,0,0,1,F,,
CA,California,99,Escondido,Abed,Sam,Sam Abed,99,mayorsamabed,twitter.com/mayorsamabed,1,0,0,0,1,0,M,,
CA,California,100,Sunnyvale,Hendricks,Glenn,Glenn Hendricks,100,GlennH2013,https://twitter.com/GlennH2013,1,0,0,0,1,0,M,,
CA,California,101,Pasadena,Tornek,Terry,Terry Tornek,101,terrytornek,twitter.com/terrytornek,1,0,0,0,1,0,M,,
CA,California,102,Fullerton,Chaffee,Doug,Doug Chaffee,102,DougChaffee2014,https://twitter.com/DougChaffee2014,1,0,0,0,1,0,M,,
CA,California,103,Orange,Smith,Teresa 'Tita',Teresa 'Tita' Smith,103,N/A,N/A,1,0,0,0,0,1,F,,
CA,California,104,Thousand Oaks,Fox,Andrew P.,Andrew P. Fox,104,N/A,N/A,1,0,0,0,1,0,M,,
CA,California,105,Visalia,Gubler,Warren,Warren Gubler,105,WarrenGubler,twitter.com/WarrenGubler,1,0,0,0,1,0,M,,
CA,California,106,Simi Valley,Huber,Bob,Bob Huber,106,huberformayor,twitter.com/huberformayor,1,0,0,0,1,0,M,,
CA,California,107,Concord,Birsan,Edi E.,Edi E. Birsan,107,edibirsan,twitter.com/edibirsan,1,0,0,0,1,0,M,,
CA,California,108,Roseville,Rohan,Susan,Susan Rohan,108,N/A,N/A,0,0,0,1,0,1,F,,
CA,California,109,Santa Clara,Gillmor,Lisa M.,Lisa M. Gillmor,109,lisagillmor,twitter.com/lisagillmor,1,0,0,0,0,1,F,,
CA,California,110,Vallejo,Sampayan,Bob,Bob Sampayan,110,BobSampayan707,https://twitter.com/BobSampayan707,0,0,0,1,1,0,M,,
CA,California,111,Victorville,Garcia,Gloria,Gloria Garcia,111,N/A,N/A,0,0,1,0,0,1,F,,
CA,California,112,El Monte,Quintero,Andre,Andre Quintero,112,andrequintero,twitter.com/andrequintero,0,0,1,0,1,0,M,,
CA,California,113,Berkeley,Arreguin,Jesse,Jesse Arreguin,113,jessearreguin,twitter.com/jessearreguin,0,0,1,0,1,0,M,,
CA,California,114,Downey,Ashton,Sean,Sean Ashton,114,realseanashton,twitter.com/realseanashton,1,0,0,0,1,0,M,,
CA,California,115,Costa Mesa,Foley,Katrina,Katrina Foley,115,katrinafoley,twitter.com/katrinafoley,1,0,0,0,0,1,F,,
CA,California,116,Inglewood,Butts Jr.,James T.,James T. Butts Jr.,116,mayorbutts,twitter.com/mayorbutts,0,1,0,0,1,0,M,,
CA,California,117,Ventura,Andrews,Neal,Neal Andrews,117,N/A,N/A,1,0,0,0,1,0,M,,
CA,California,118,West Covina,Spence,Mike,Mike Spence,118,mike_spence,twitter.com/mike_spence,1,0,0,0,1,0,M,,
CA,California,119,Norwalk,Vernola,Luigi,Luigi Vernola,119,N/A,N/A,1,0,0,0,1,0,M,,
CA,California,120,Carlsbad,Hall,Matt,Matt Hall,120,mayorhall,twitter.com/mayorhall,1,0,0,0,1,0,M,,
CA,California,121,Fairfield,Price,Harry T.,Harry T. Price,121,N/A,N/A,1,0,0,0,1,0,M,,
CA,California,122,Richmond,Butt,Thomas K.,Thomas K. Butt,122,mayortombutt,twitter.com/mayortombutt,1,0,0,0,1,0,M,,
CA,California,123,Murrieta,Ingram,Jonathan,Jonathan Ingram,123,electingram,twitter.com/electingram,1,0,0,0,1,0,M,,
CA,California,124,Burbank,Rogers,Will,Will Rogers,124,N/A,N/A,1,0,0,0,1,0,M,,
CA,California,125,Antioch,Wright,Sean,Sean Wright,125,drwright4mayor,twitter.com/drwright4mayor,1,0,0,0,1,0,M,,
CA,California,126,Daly City,Manalo,Juslyn C.,Juslyn C. Manalo,126,juslynmanalo,twitter.com/juslynmanalo,0,0,0,1,0,1,F,,
CA,California,127,Temecula,Rahn,Matt,Matt Rahn,127,N/A,N/A,1,0,0,0,1,0,M,,
CA,California,128,Santa Maria,Patino,Alice M.,Alice M. Patino,128,N/A,N/A,1,0,0,0,0,1,F,,
CA,California,129,El Cajon,Wells,Bill,Bill Wells,129,billwellsmayor,twitter.com/billwellsmayor,1,0,0,0,1,0,M,,
CA,California,130,Rialto,Robertson,Deborah,Deborah Robertson,130,mayordrobertson,twitter.com/mayordrobertson,0,1,0,0,0,1,F,,
CA,California,131,San Mateo,Bonilla,Rick,Rick Bonilla,131,rickbonilla,twitter.com/rickbonilla,1,0,0,0,1,0,M,,
CA,California,132,Compton,Brown,Aja,Aja Brown,132,AjaLBrown,twitter.com/AjaLBrown,0,1,0,0,0,1,F,,
CA,California,133,Clovis,Whalen,Bob,Bob Whalen,133,bobwhalen,twitter.com/bobwhalen,1,0,0,0,1,0,M,,
CA,California,134,Jurupa Valley,Goodland,Micheal,Micheal Goodland,134,N/A,N/A,1,0,0,0,1,0,M,,
CA,California,135,South Gate,Davila,Maria,Maria Davila,135,N/A,N/A,1,0,0,0,0,1,F,,
CA,California,136,Vista,Ritter,Judy,Judy Ritter,136,RitterJudy,https://twitter.com/RitterJudy,1,0,0,0,0,1,F,,
CA,California,137,Mission Viejo,Sachs,Ed,Ed Sachs,137,edsachs,https://twitter.com/edsachs,1,0,0,0,1,0,M,,
CA,California,138,Vacaville,Augustine,Len,Len Augustine,138,LenAugustine,https://twitter.com/LenAugustine,1,0,0,0,1,0,M,,
CA,California,139,Carson,Robles,Albert,Albert Robles,139,Mralbertrobles,https://twitter.com/Mralbertrobles,1,0,0,0,1,0,M,,
CA,California,140,Hesperia,Blewett,Russell 'Russ',Russell 'Russ' Blewett,140,RussBlewett,https://twitter.com/RussBlewett,1,0,0,0,1,0,M,,
CA,California,141,Redding,Schreder,Kristen,Kristen Schreder,141,electschreder,https://twitter.com/electschreder,1,0,0,0,0,1,F,,
CA,California,142,Santa Monica,Winterer,Ted,Ted Winterer,142,SaMoMayor,https://twitter.com/SaMoMayor,1,0,0,0,1,0,M,,
CA,California,143,Westminster,Ta,Tri,Tri Ta,143,mayortrita,https://twitter.com/mayortrita,0,0,0,1,1,0,M,,
CA,California,144,Santa Barbara,Murillo,Cathy,Cathy Murillo,144,CathyMurillo,https://twitter.com/CathyMurillo,1,0,0,0,0,1,F,,
