FIPS,Name of Area,Qualifying Name,State/U.S.-Abbreviation (USPS),under5,5to9,10to14,15to17,18to24,25to34,35to44,45to54,55to64,65to74,75to84,plus85,totalPop,white,black,nativeAm,asian,pacIsl,other,twomore,employed,unemployed,medhhinc,gini
3.48605E+11,"Nacogdoches city, TX; Nacogdoches, TX Micro Area","Nacogdoches city, Texas (part); Nacogdoches, Nacogdoches",tx,7.56,5.68,4.83,2.86,30.44,12.29,9.16,8.5,7.53,5.84,3.29,2.03,33789,63.78,29.2,0.12,3.31,0,1.83,1.76,88.62,11.38,31979,0.5515
3.49001E+11,"Napa city, CA; Napa, CA Metro Area","Napa city, California (part); Napa, Napa",ca,6.11,6.22,7.23,4.04,9.02,13.59,13.03,13.55,12.57,8.06,4.18,2.41,79567,77.06,0.76,1.19,2.82,0.15,14.94,3.07,93.61,6.39,71087,0.4322
3.49401E+11,"Immokalee CDP, FL; Naples-Immokalee-Marco Island, FL Metro Area","Immokalee CDP, Florida (part); Naples-Immokalee-Marco Island, Naples-Immokalee-Marco Island",fl,8.94,9.69,7.47,5.55,14.37,14.67,15.44,12.68,5.59,3.67,1.62,0.32,25284,67.48,20.42,1.6,0.17,0,9.61,0.71,84.55,15.45,27767,0.4306
3.49401E+11,"Marco Island city, FL; Naples-Immokalee-Marco Island, FL Metro Area","Marco Island city, Florida (part); Naples-Immokalee-Marco Island, Naples-Immokalee-Marco Island",fl,1.3,2.15,3.04,1.66,3.89,3.77,5.8,10.17,19.09,25.91,17.8,5.4,17361,97.99,0.25,0,1.12,0,0.38,0.26,95.58,4.42,73559,0.5324
3.49401E+11,"Naples city, FL; Naples-Immokalee-Marco Island, FL Metro Area","Naples city, Florida (part); Naples-Immokalee-Marco Island, Naples-Immokalee-Marco Island",fl,2.24,1.98,3.24,1.14,2.96,4.62,4.19,9.57,19.05,24.55,17.14,9.33,20980,94.18,4.51,0.05,0.43,0,0.18,0.65,95.15,4.85,84830,0.6075
3.49805E+11,"Franklin city, TN; Nashville-Davidson--Murfreesboro--Franklin, TN Metro Area","Franklin city, Tennessee (part); Nashville-Davidson--Murfreesboro--Franklin, Nashville-Davidson--Murfreesboro--Franklin",tn,6.53,8.09,7.27,4.3,7.8,12.02,15.33,15.11,11.89,6.1,3.89,1.68,70625,85.99,5.99,0.06,5.37,0,0.72,1.87,95.8,4.2,88961,0.4325
3.49805E+11,"Murfreesboro city, TN; Nashville-Davidson--Murfreesboro--Franklin, TN Metro Area","Murfreesboro city, Tennessee (part); Nashville-Davidson--Murfreesboro--Franklin, Nashville-Davidson--Murfreesboro--Franklin",tn,6.49,6.61,6.22,3.56,17.89,16.52,13.48,11.45,9,5.25,2.38,1.15,122007,74.36,16.98,0.13,3.69,0.05,1.06,3.73,93.28,6.72,53241,0.4412
3.49805E+11,"Nashville-Davidson metropolitan government (balance), TN; Nashville-Davidson--Murfreesboro--Franklin, TN Metro Area","Nashville-Davidson metropolitan government (balance), Tennessee (part); Nashville-Davidson--Murfreesboro--Franklin, Nashville-Davidson--Murfreesboro--Franklin",tn,7.05,6.2,5.27,3.01,10.59,19.43,13.76,12.46,11.38,6.29,3.25,1.3,643771,62.35,28.03,0.27,3.52,0.06,3.38,2.39,93.82,6.18,49891,0.4715
3.50203E+11,"Natchez city, MS; Natchez, MS-LA Micro Area","Natchez city, Mississippi (part); Natchez, Natchez",ms,6.73,8.8,5.32,3.69,8.37,11.56,9.6,11.62,15.07,11.13,5.42,2.7,15345,36.41,60.99,0,0.16,0,0.83,1.62,88.49,11.51,30082,0.5163
3.50602E+11,"Natchitoches city, LA; Natchitoches, LA Micro Area","Natchitoches city, Louisiana (part); Natchitoches, Natchitoches",la,6.55,7.39,5.8,3.95,23.8,11.76,8.77,9.71,9.02,7.1,4.11,2.04,18402,37.66,59.72,0.84,0.2,0,0.7,0.87,85.61,14.39,21406,0.6092
